,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Fecha extrac,Enlace,Marca,Modelo,Precio,Localización,Potencia,Tipo vendedor,Categoría,Tipo de vehículo,puertas,Versión del país,Núm. de oferta,Garantía,Kilometraje,Año,Tipo de cambio,Capacidad,Otras fuentes de energía,"Consumo de combustible
2",Color exterior,Color original,Tracción,plazas,Número de marchas,Número de cilindros,Peso,Tipo de combustible,Unnamed: 29,Tipo de pintura,"Emisión de CO₂
2",Unnamed: 33,Unnamed: 35,Unnamed: 37,Unnamed: 39,Unnamed: 41,Unnamed: 43,Unnamed: 45,Unnamed: 47,Unnamed: 49,Unnamed: 51,Unnamed: 53,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-11,https://www.autoscout24.es/anuncios/lynk-co-01-1-1-5-hev-electro-gasolina-azul-651385ce-4a37-49cf-be06-9341ca531cda,Lynk & Co,01,"€ 22.630,-1",https://maps.google.com/?q=AVENIDA%20CARLOS%20SAINZ%2C%2015%20LEGANES%2C%2028914%20MADRID%2C%20ES,145 kW (197 CV),Prof.,SUV/4x4/Pickup,Ocasión,5,España,11099248,12 mes,53.627 km,11/2021,Automático,1.477 cm³,Corriente,"6,6 l/100 km (mixto)",Azul,Azul,,,,,,,,,,,,,,,,,,,,,
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2023-11-11,https://www.autoscout24.es/anuncios/cupra-formentor-1-5-tsi-150-gasolina-negro-aeac313c-adee-406f-9cf2-8294c1856abd,Cupra,Formentor,"€ 20.995,-",https://maps.google.com/?q=AVENIDA%20DE%20CATALU%C3%91A%20103%2C%2050014%20ZARAGOZA%2C%20ES,110 kW (150 CV),Prof.,SUV/4x4/Pickup,Ocasión,5,España,9718315,12 mes,26.141 km,05/2021,Manual,1.498 cm³,,"5,4 l/100 km (mixto)
6,3 l/100 km (urbano)
4,9 l/100 km (extraurbano)",Negro,Negro Midnight (metalizado),Tracción delantera,5.0,6.0,4.0,1.437 kg,Gasolina,,Metalizado,,,,,,,,,,,,,
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2023-11-11,https://www.autoscout24.es/anuncios/gmc-yukon-denali-6-2-v8-4wd-gasolina-gris-d8e63064-1729-4d93-9942-780d82a86aef,GMC,Yukon,"€ 79.000,-",https://maps.google.com/?q=C%2F%20VICENTE%20MUZAS%2C%203%20-%20LOCAL.%2C%2028043%20MADRID%2C%20ES,313 kW (426 CV),Prof.,SUV/4x4/Pickup,Ocasión,5,España,5956021,12 mes,81.422 km,06/2018,Automático,,,,Gris,,,,,,,Gasolina,,Metalizado,,,,,,,,,,,,,
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2023-11-11,https://www.autoscout24.es/anuncios/infiniti-q50-3-5-hybrid-sport-aut-electro-gasolina-9fc6e59e-3c38-4c3d-96e0-7ce83797f870,Infiniti,Q50,"€ 27.250,-",https://maps.google.com/?q=CARRETERA%20N-II%20N%C2%BA%2013%2C%2017458%20FORNELLS%20DE%20LA%20SELVA%2C%20ES,268 kW (364 CV),Prof.,Sedán,Ocasión,4,España,11057295,12 mes,92.253 km,01/2019,Automático,3.498 cm³,Corriente,"6,2 l/100 km (mixto)",,ROJO,Tracción trasera,5.0,7.0,6.0,1.853 kg,,,,,,,,,,,,,,,,
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,2023-11-11,https://www.autoscout24.es/anuncios/audi-r8-4-2-fsi-quattro-r-tronic-gasolina-plateado-650fba34-44e3-4146-b0f8-558b1f4fd1e7,Audi,R8,"€ 51.500,-",https://maps.google.com/?q=Ctra.%20Madrid%2C%20Km.%204%2C%203006%20ALICANTE%2C%20ES,309 kW (420 CV),Prof.,Coupé,Ocasión,2,España,10524362,12 mes,81.100 km,06/2007,Automático,4.163 cm³,,"13,6 l/100 km (mixto)
20,4 l/100 km (urbano)
9,6 l/100 km (extraurbano)",Plateado,Gris Plata,Tracción a las cuatro ruedas,2.0,6.0,8.0,1.565 kg,Gasolina,,,,,,,,,,,,,,,
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,2023-11-11,https://www.autoscout24.es/anuncios/porsche-992-turbo-s-coupe-pdk-gasolina-gris-3e74b690-acb4-4972-b3ab-da6d0721bdbc,Porsche,992,"€ 289.900,-",https://maps.google.com/?q=Poligono%20Industrial%20Sud%2C%20sector%20P3%20Nave%2010%2C%208440%20CARDEDEU%2C%20ES,478 kW (650 CV),Prof.,Coupé,Demostración,2,España,11146400,18 mes,1.650 km,11/2022,Automático,3.745 cm³,,"11,1 l/100 km (mixto)
15,5 l/100 km (urbano)
8,6 l/100 km (extraurbano)",Gris,Gris Ágata,Tracción a las cuatro ruedas,4.0,8.0,6.0,,Gasolina,,,,,,,,,,,,,,,
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,2023-11-11,https://www.autoscout24.es/anuncios/ferrari-812-superfast-gasolina-rojo-6cd19309-d677-42c4-ad79-212ad720623f,Ferrari,812,"€ 379.999,-",https://maps.google.com/?q=C%2FCARRIL%20DE%20PICAZA%20N%C2%BA2%20POLG.%20IND.%20SAN%20PEDRO%20DE%20ALCANTARA.%2C%2029670%20MARBELLA%2C%20ES,588 kW (799 CV),Prof.,Coupé,Ocasión,2,España,11262595,12 mes,4.600 km,01/2018,Automático,6.496 cm³,,"14,9 l/100 km (mixto)
19,4 l/100 km (urbano)
10,4 l/100 km (extraurbano)",Rojo,Rosso Corsa,Tracción trasera,2.0,7.0,12.0,1.525 kg,Gasolina,,,,,,,,,,,,,,,
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,2023-11-11,https://www.autoscout24.es/anuncios/ds-automobiles-ds-7-crossback-bluehdi-de-96kw-130cv-so-chic-diesel-negro-e910bea6-d0e7-44b7-91d9-ba920d7fc68c,DS Automobiles,DS 7 Crossback,"€ 21.290,-1",https://maps.google.com/?q=AV.%20DE%20AR%C3%93STEGUI%2C%2030%2C%2031009%20PAMPLONA%2C%20ES,96 kW (131 CV),Prof.,SUV/4x4/Pickup,Ocasión,5,España,9554668,12 mes,41.000 km,03/2020,Manual,1.500 cm³,,"4,1 l/100 km (mixto)
4,6 l/100 km (urbano)
3,8 l/100 km (extraurbano)",Negro,Negro,,,,,,Diésel,,,,,,,,,,,,,,,
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,2023-11-11,https://www.autoscout24.es/anuncios/bentley-continental-gt-speed-aut-gasolina-blanco-a1720bfa-178c-448a-9663-e243ccfde1bc,Bentley,Continental,"€ 64.500,-",https://maps.google.com/?q=Crtra.de%20Cadiz%20Km%20171%2C%2029670%20San%20Pedro%20de%20Alcantara%2C%20ES,449 kW (610 CV),Prof.,Coupé,Ocasión,2,España,10081325,12 mes,92.025 km,06/2009,Automático,5.998 cm³,,"16,6 l/100 km (mixto)
25,3 l/100 km (urbano)
11,6 l/100 km (extraurbano)",Blanco,Blanco,Tracción a las cuatro ruedas,4.0,6.0,12.0,2.425 kg,Gasolina,,Metalizado,,,,,,,,,,,,,
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,2023-11-11,https://www.autoscout24.es/anuncios/mercedes-benz-glc-250-250d-4matic-aut-diesel-azul-956e27d8-5378-43b3-a6d1-9f471ecb094c,Mercedes-Benz,GLC 250,"€ 35.900,-1",https://maps.google.com/?q=AVDA%20CAMINO%20DE%20LO%20CORTAO%20N%C2%BA37%20B%20NAVE%20B%2C%2028703%20SAN%20SEBASTIAN%20DE%20LOS%20REYES%2C%20ES,150 kW (204 CV),Prof.,SUV/4x4/Pickup,Ocasión,5,España,11140787,12 mes,49.000 km,05/2019,Automático,2.143 cm³,,"6,1 l/100 km (mixto)
6,9 l/100 km (urbano)
5,4 l/100 km (extraurbano)",Azul,PACK AMG,Tracción a las cuatro ruedas,5.0,9.0,4.0,1.855 kg,Diésel,,Metalizado,,,,,,,,,,,,,
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,2023-11-11,https://www.autoscout24.es/anuncios/mercedes-benz-gls-500-4matic-aut-gasolina-840764c3-5fa1-4fc2-8f15-4fea6c89c55b,Mercedes-Benz,GLS 500,"€ 69.991,-",https://maps.google.com/?q=CARRETERA%20DE%20MADRID%20KM%20332%2C%2023009%20JAEN%2C%20ES,335 kW (455 CV),Prof.,SUV/4x4/Pickup,Ocasión,5,España,11134887,24 mes,55.925 km,07/2018,Automático,4.663 cm³,,"10,9 l/100 km (mixto)
14,6 l/100 km (urbano)
8,8 l/100 km (extraurbano)",,NEGRO OBSIDIANA,Tracción a las cuatro ruedas,7.0,9.0,8.0,2.445 kg,Gasolina,,,,,,,,,,,,,,,
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,2023-11-11,https://www.autoscout24.es/anuncios/ferrari-f12-f12berlinetta-gasolina-negro-6e65f6ff-7dd7-4149-84e5-9585ab9037ef,Ferrari,F12,"€ 195.000,-",https://maps.google.com/?q=Avenida%20de%20Somosierra%2C%2012%20Portal%20A-%20Local%20--%20Edificio%20Cristal%2C%2028703%20San%20Sebastian%20de%20los%20Reyes%2C%20ES,545 kW (741 CV),Prof.,Coupé,Ocasión,3,España,11093649,12 mes,53.200 km,02/2013,Automático,6.262 cm³,,"15 l/100 km (mixto)
19,5 l/100 km (urbano)
10,5 l/100 km (extraurbano)",Negro,,Tracción trasera,2.0,7.0,12.0,1.525 kg,Gasolina,,Metalizado,,,,,,,,,,,,,
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,2023-11-11,https://www.autoscout24.es/anuncios/mercedes-benz-s-400-400d-4matic-9g-tronic-diesel-gris-57dc12f0-c7a2-4d17-af19-13ec5e4308bc,Mercedes-Benz,S 400,"€ 105.900,-",https://maps.google.com/?q=C%2F%20DRETS%20HUMANS%2C%2029%2C%208870%20SITGES%2C%20ES,243 kW (330 CV),Prof.,Sedán,Ocasión,4,España,11134358,24 mes,19.000 km,10/2022,Automático,2.925 cm³,,"0 l/100 km (mixto)
0 l/100 km (urbano)
0 l/100 km (extraurbano)",Gris,Selenita,Tracción a las cuatro ruedas,5.0,9.0,6.0,2.060 kg,Diésel,,Metalizado,,,,,,,,,,,,,
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,2023-11-11,https://www.autoscout24.es/anuncios/maserati-granturismo-s-aut-gasolina-negro-9269a253-5365-4df7-a6aa-60d5e8e0338c,Maserati,GranTurismo,"€ 34.990,-",https://maps.google.com/?q=AVENIDA%20FERNAN%20NU%C3%91EZ%20N%C2%BA6%2C%2014191%20EL%20ARRECIFE%2F%20LA%20CARLOTA%2C%20ES,323 kW (439 CV),Prof.,Coupé,Ocasión,2,España,11144753,,100.000 km,06/2008,Automático,4.691 cm³,,"16,6 l/100 km (mixto)
25,8 l/100 km (urbano)
11,2 l/100 km (extraurbano)",Negro,Negro,Tracción trasera,4.0,6.0,8.0,1.955 kg,Gasolina,,,,,,,,,,,,,,,
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,2023-11-11,https://www.autoscout24.es/anuncios/citroen-cx-25-prestige-aut-gasolina-gris-c04cffa4-b590-4c2b-ad48-c10b82b6ad45,Citroen,CX,"€ 7.990,-",https://maps.google.com/?q=Urbanizaci%C3%B3n%20la%20Vall%2C%20Bloque%20D.Local%204.%2C%208398%20Santa%20Susanna%2C%20ES,101 kW (137 CV),Prof.,Sedán,Clásica,4,España,11093910,,122.000 km,05/1986,Automático,2.500 cm³,,"0 l/100 km (mixto)
0 l/100 km (urbano)
0 l/100 km (extraurbano)",Gris,,Tracción delantera,5.0,3.0,4.0,1.390 kg,Gasolina,,Metalizado,,,,,,,,,,,,,
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,2023-11-11,https://www.autoscout24.es/anuncios/bmw-640-640da-cabrio-xdrive-diesel-gris-939f7aae-96f5-4ac0-9faa-804e0a34e678,BMW,640,"€ 29.400,-",https://maps.google.com/?q=AVDA.%20PIRELLI%2C%2014%2C%208241%20MANRESA%2C%20ES,230 kW (313 CV),Prof.,Cabrio,Ocasión,2,España,9697549,12 mes,127.000 km,07/2012,Automático,2.993 cm³,,"5,9 l/100 km (mixto)
7,1 l/100 km (urbano)
5,1 l/100 km (extraurbano)",Gris,Gris,Tracción a las cuatro ruedas,4.0,8.0,6.0,1.930 kg,Diésel,,,,,,,,,,,,,,,
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,2023-11-11,https://www.autoscout24.es/anuncios/mercedes-benz-c-220-d-berlina-diesel-6ad8052b-1683-4625-8af8-da9f33508f91,Mercedes-Benz,C 220,"€ 45.900,-",https://maps.google.com/?q=MADRID%2C%20S%2FN%2C%2028045%20MADRID%2C%20ES,147 kW (200 CV),Prof.,Sedán,Ocasión,4,España,11126032,36 mes,28.934 km,11/2022,Automático,1.993 cm³,,"4 l/100 km (mixto)
5 l/100 km (urbano)
3 l/100 km (extraurbano)",,Blanco polar,,,,,,Diésel,,,,,,,,,,,,,,,
